subject,start,end,organizer,required attendees,optional attendees
Gentile Mission Update — Antioch,2025-09-14 09:20:00,2025-09-14 10:05:00,Paul,Phlegon;Barnabas;Peter;Tryphosa,Andronicus;Olympas;Gaius_Macedonia
New Convert Catechesis — Berea,2025-09-14 10:15:00,2025-09-14 11:15:00,Epaphras,Priscilla;James_Zebedee;Barnabas,
Gentile Mission Update — Tarsus,2025-09-14 14:45:00,2025-09-14 15:15:00,Rufus,Damaris;Quartus;Epaphras;Hermes,
Shipwreck Recovery Briefing — Corinth,2025-09-16 15:20:00,2025-09-16 16:50:00,Philip,John;Onesiphorus;Trophimus;Rufus;Paul;Zenas;Cephas_Disciple;Mark;Aquila,Erastus;Cornelius;Thomas
Prayer Vigil — Antioch,2025-09-16 16:00:00,2025-09-16 18:30:00,Cephas_Disciple,Sopater;Persis;Chloe;Gaius_Macedonia;Paul,
Lord's Supper Preparation — Lystra,2025-09-17 11:15:00,2025-09-17 12:15:00,Thaddaeus,Carpus;Junia;Gaius_Macedonia;Dionysius,
Baptism Service Coordination — Thessalonica,2025-09-17 15:30:00,2025-09-17 17:30:00,Zenas,John;Simon_Zealot;Apphia;Andrew,Mark
Famine Relief Coordination — Iconium,2025-09-18 09:30:00,2025-09-18 10:30:00,Paul,Justus;Aristarchus;Simon_Zealot;Sopater;Nicanor;Tryphena;Prochorus;Persis,
New Convert Catechesis — Miletus,2025-09-18 10:15:00,2025-09-18 11:00:00,Paul,Thaddaeus;Prochorus;Demetrius;Silas;Titus;Quartus;Linus,Cephas_Disciple;Hermas;Carpus;Apphia
Doctrinal Council — Rome,2025-09-18 16:30:00,2025-09-18 17:00:00,James_Alphaeus,Tychicus;Secundus;Nymphas;Persis,
Trial Preparation — Lystra,2025-09-19 08:00:00,2025-09-19 09:00:00,Sosthenes,Cephas_Disciple;Onesiphorus;James_Alphaeus;Tryphena;Onesimus;Joseph_Barsabas;Mary_Mark;Stephen,Quartus;Eutychus;Agabus
Scribal Workshop — Caesarea,2025-09-19 10:00:00,2025-09-19 11:00:00,Matthias,Silas;Aquila;Eutychus;Damaris;Philip_Deacon,Gaius_Macedonia;Cleopas
Collection for the Saints — Samaria,2025-09-20 09:20:00,2025-09-20 11:50:00,Luke,Patrobas;Achaicus;Onesimus,Zenas;Aquila
Healing Ministry Debrief — Galatia,2025-09-20 09:45:00,2025-09-20 10:30:00,Paul,Luke;Dionysius;Rufus;Quartus;Priscilla;Sosthenes;Manaen;Philemon;Simon_Zealot;Tryphena,Zenas;Phlegon
Persecution Response Briefing — Samaria,2025-09-20 13:00:00,2025-09-20 16:00:00,Apollos,Thomas;Stephanas;Junia;Joseph_Barsabas;Mary_Mark;Agabus;Andrew;Prochorus;Nymphas;Tryphena,Caius;James_Zebedee;Asyncritus;Zenas
Council of Apostles — Samaria,2025-09-21 09:00:00,2025-09-21 09:45:00,Gaius_Derbe,Chloe;Matthias;Junia;Joseph_Barsabas;Titus;Mark;Aristarchus;Rufus,Mary_Rome;Crispus;Timothy
Church Planting Review — Malta,2025-09-22 10:15:00,2025-09-22 11:45:00,James_Zebedee,Eutychus;Priscilla,
Famine Relief Coordination — Derbe,2025-09-23 08:00:00,2025-09-23 09:30:00,Asyncritus,Carpus;Paul,Aquila;Olympas
Council of Apostles — Ephesus,2025-09-23 13:30:00,2025-09-23 14:15:00,Nicolas,Sopater;Cephas_Disciple;Onesiphorus;Asyncritus;Peter;Luke;Lucius,John
Widow's Care Logistics — Ephesus,2025-09-24 14:20:00,2025-09-24 15:20:00,Philip,Patrobas;Junia;Zenas;Matthias;Crispus;Damaris;Aquila,
Idol-Meat Controversy — Ephesus,2025-09-24 18:30:00,2025-09-24 21:30:00,Paul,Epaphroditus;James_Alphaeus;Crispus;Philip_Deacon,Eutychus;Onesiphorus
Apostolic Letter Review — Cyprus,2025-09-25 09:30:00,2025-09-25 11:00:00,Trophimus,Tryphena;Achaicus;Olympas;Parmenas;John;Timon;Junia,
Prayer Vigil — Cyprus,2025-09-25 14:30:00,2025-09-25 18:30:00,James_Zebedee,Lydia;Thomas;Manaen;Crescens,
Deacon Selection — Hierapolis,2025-09-26 10:30:00,2025-09-26 14:30:00,Paul,Gaius_Derbe;Apphia,
Apostolic Letter Review — Sardis,2025-09-26 13:15:00,2025-09-26 16:15:00,Paul,Phoebe;James_Alphaeus,Silas
Apostolic Letter Review — Rome,2025-09-28 10:00:00,2025-09-28 12:30:00,Sopater,Epaphroditus;Damaris;Titus;Crispus,
Scribal Workshop — Jerusalem,2025-09-28 11:20:00,2025-09-28 12:50:00,John,Barnabas;Nymphas;Phoebe;Erastus,Joseph_Barsabas;Sopater;Aristarchus;Demas
Baptism Service Coordination — Caesarea,2025-09-28 14:00:00,2025-09-28 14:30:00,Matthias,Nicolas;Silas;Hermes,Sopater;Onesiphorus
Breaking of Bread — Perga,2025-09-29 15:20:00,2025-09-29 17:20:00,Timon,Cleopas;Tychicus,Luke;Junia;Demas;Olympas
Church Planting Review — Alexandria,2025-09-30 09:00:00,2025-09-30 11:00:00,Thomas,Gaius_Derbe;Sosthenes;Damaris;Sopater,
Missionary Strategy Session — Rome,2025-09-30 09:00:00,2025-09-30 10:00:00,Apollos,Lydia;Manaen;Tryphosa;Peter;Justus;Zenas,
Shipwreck Recovery Briefing — Derbe,2025-09-30 09:15:00,2025-09-30 12:15:00,John,Gaius_Derbe;Fortunatus;Aristarchus;Luke;Matthias;Asyncritus,Nymphas
Doctrinal Council — Galatia,2025-09-30 11:30:00,2025-09-30 12:30:00,Matthias,Priscilla;Tryphena;Andrew;Peter;Onesiphorus;Prochorus,
Lord's Supper Preparation — Rome,2025-09-30 18:30:00,2025-09-30 20:30:00,Paul,Tryphena;Patrobas;Onesimus,
Persecution Response Briefing — Joppa,2025-10-01 07:00:00,2025-10-01 09:30:00,Thomas,Timon;Paul;Cleopas;Chloe,Fortunatus
Idol-Meat Controversy — Caesarea,2025-10-01 09:00:00,2025-10-01 09:45:00,James_Alphaeus,Cleopas;Carpus;Justus;Gaius_Macedonia;Hermes;Barnabas;Rufus;Damaris;Stephen,
Church Planting Review — Thessalonica,2025-10-01 10:00:00,2025-10-01 11:00:00,Crescens,Parmenas;Philip;Demetrius;Fortunatus;Justus;Rufus;Patrobas,
Famine Relief Coordination — Smyrna,2025-10-01 10:00:00,2025-10-01 13:00:00,James_Zebedee,Silas;Lydia;Junia;Quartus,Philip;Tabitha;Nicolas
Church Planting Review — Crete,2025-10-01 10:45:00,2025-10-01 12:15:00,Carpus,Sosthenes;Caius;Thomas;Luke;Lucius;Onesiphorus;Jason,Mark
Hospitality Network Coordination — Ephesus,2025-10-03 13:00:00,2025-10-03 14:00:00,Nicanor,Justus;Lucius;James_Zebedee;Joseph_Barsabas,
Lord's Supper Preparation — Sardis,2025-10-04 09:45:00,2025-10-04 10:45:00,Philip_Deacon,Silas;Bartholomew;Junia;Rufus;Stephanas;Gaius_Macedonia;Phlegon,Justus;Achaicus;Andrew
Deacon Selection — Rome,2025-10-05 08:15:00,2025-10-05 09:15:00,Philip,Asyncritus;Titus;Carpus;Fortunatus;Mark;Erastus;Trophimus;Persis,Thaddaeus
Gentile Mission Update — Sardis,2025-10-05 08:20:00,2025-10-05 11:20:00,Mark,Damaris;Aristarchus;Persis;Barnabas;Cornelius;Onesimus;James_Alphaeus;Hermas,Crescens
Apostolic Letter Review — Samaria,2025-10-05 09:30:00,2025-10-05 12:00:00,Aristarchus,Tryphena;Sosthenes;Simon_Zealot;Eutychus;Sopater;Philemon;Apphia;Joseph_Barsabas,Epaphroditus
Farewell Address — Derbe,2025-10-06 07:20:00,2025-10-06 08:20:00,Onesiphorus,Parmenas;Aquila;Matthew;Crescens;Apollos;Quartus;Nicolas;Matthias;Philip_Deacon,Bartholomew;Jason;Cleopas;Patrobas
Idol-Meat Controversy — Philadelphia,2025-10-06 10:45:00,2025-10-06 11:45:00,Simon_Zealot,Andrew;Justus;Stephen;Cleopas,Phlegon
Idol-Meat Controversy — Tarsus,2025-10-07 09:00:00,2025-10-07 10:00:00,Epaphroditus,Titus;Hermas;Apollos;Philemon;James_Alphaeus;Patrobas;Joseph_Barsabas;Demetrius;Mary_Mark;Tabitha,
Famine Relief Coordination — Samaria,2025-10-08 18:00:00,2025-10-08 19:30:00,Apollos,Epaphras;Onesiphorus;Hermas;Tryphosa;Matthew;Demetrius;Aquila;Secundus,Paul;Luke;James_Zebedee
Apostolic Letter Review — Philadelphia,2025-10-09 10:00:00,2025-10-09 14:00:00,Tychicus,Cleopas;Onesimus;Cornelius,Demetrius;Phoebe;Asyncritus;Crispus
Council of Apostles — Alexandria,2025-10-10 10:00:00,2025-10-10 12:30:00,Caius,Jason;Tabitha;Priscilla;Matthias;Cornelius;Rufus;Nicolas;Nicanor;Aristarchus;Junia,
Teaching Schedule Review — Berea,2025-10-10 19:45:00,2025-10-10 22:15:00,Bartholomew,Manaen;Chloe;Carpus;Dionysius;Gaius_Macedonia;Olympas;Gaius_Derbe;Hermes,James_Alphaeus;James_Zebedee
Widow's Care Logistics — Perga,2025-10-11 10:20:00,2025-10-11 11:20:00,Gaius_Derbe,Andrew;Apphia;Justus;Philip;Nymphas;Thomas;Demetrius,Trophimus;Sopater
New Convert Catechesis — Alexandria,2025-10-11 18:45:00,2025-10-11 20:15:00,Matthew,Secundus;Timothy;Tryphena;Phoebe;Phlegon,
Breaking of Bread — Corinth,2025-10-12 10:30:00,2025-10-12 11:30:00,Thaddaeus,Asyncritus;Tabitha,Agabus
Hospitality Network Coordination — Berea,2025-10-12 19:45:00,2025-10-12 20:45:00,Matthew,Gaius_Derbe;Cephas_Disciple,Phoebe;Tychicus
Doctrinal Council — Laodicea,2025-10-13 09:30:00,2025-10-13 10:15:00,Paul,Hermas;Eutychus;Bartholomew,James_Alphaeus;Erastus;Demetrius;Mark
Council of Apostles — Pergamum,2025-10-13 11:45:00,2025-10-13 12:15:00,Aristarchus,Priscilla;Silas,Secundus;Prochorus
Council of Apostles — Thessalonica,2025-10-13 19:00:00,2025-10-13 20:00:00,James_Alphaeus,Silas;Zenas;Cleopas;Dionysius;Philip;Crispus;Joseph_Barsabas;Manaen;Paul;Eutychus,Hermas;Onesimus;Tabitha
Deacon Selection — Cyprus,2025-10-14 08:00:00,2025-10-14 10:00:00,Thomas,Carpus;Sosthenes,
Persecution Response Briefing — Perga,2025-10-14 09:00:00,2025-10-14 09:45:00,Philip,Epaphroditus;Nicanor;Epaphras;Titus;Manaen,Jason;Damaris;Eutychus;Gaius_Derbe
Lord's Supper Preparation — Laodicea,2025-10-14 09:30:00,2025-10-14 10:00:00,Bartholomew,Jason;Demetrius;Simon_Zealot;Caius;Manaen;Silas,Chloe;Timon;Onesiphorus;Thaddaeus
Letter Dictation — Laodicea,2025-10-14 14:00:00,2025-10-14 16:30:00,Barnabas,Paul;Eutychus,Damaris
Healing Ministry Debrief — Colossae,2025-10-15 09:00:00,2025-10-15 11:30:00,Timon,Apollos;Andrew;Carpus;Olympas;Parmenas;Trophimus;Matthew,Tryphosa;Manaen;Dionysius
Shipwreck Recovery Briefing — Athens,2025-10-15 16:00:00,2025-10-15 17:00:00,Paul,Nymphas;Mark;Tryphena;Crispus;Aquila;Olympas;Phlegon;Persis;Hermes;Erastus,Lydia;Cornelius
Widow's Care Logistics — Iconium,2025-10-16 13:00:00,2025-10-16 13:45:00,John,Lydia;Crispus;Asyncritus;Aquila;Crescens;Persis;Silas;Jason,Mary_Mark;Apollos
Famine Relief Coordination — Thessalonica,2025-10-16 13:45:00,2025-10-16 15:15:00,Parmenas,Philip_Deacon;Cornelius;Matthew;Timon;Gaius_Macedonia;Persis;Asyncritus;James_Zebedee;Epaphroditus,Trophimus;Agabus
Discipleship Training — Smyrna,2025-10-16 14:00:00,2025-10-16 15:30:00,Paul,Phoebe;Rufus;Caius;Andronicus;Cleopas,Prochorus;Onesiphorus
Baptism Service Coordination — Crete,2025-10-17 09:15:00,2025-10-17 10:15:00,Nicanor,Rufus;Achaicus;Manaen;Mary_Rome;Tabitha;Crescens;James_Zebedee;Peter;Barnabas,
Discipleship Training — Puteoli,2025-10-17 09:30:00,2025-10-17 12:00:00,Matthias,Lydia;Mary_Rome;Andrew;Matthew;Aristarchus,Stephanas;Patrobas;Olympas;Junia
Council of Apostles — Thyatira,2025-10-18 09:00:00,2025-10-18 09:45:00,Bartholomew,Onesimus;Demas;Dionysius,Mark;Carpus;Stephanas;Matthew
Doctrinal Council — Laodicea,2025-10-18 09:30:00,2025-10-18 12:30:00,Paul,Tychicus;Stephen,Andrew
Hospitality Network Coordination — Patmos,2025-10-18 10:30:00,2025-10-18 12:00:00,Olympas,Junia;Zenas;Stephen;Phlegon,Persis;Dionysius;Apollos
Hospitality Network Coordination — Alexandria,2025-10-19 08:30:00,2025-10-19 09:30:00,Paul,Dionysius;Gaius_Derbe;Hermes;Silas;Apphia;Prochorus;Stephen;Junia;Nymphas;James_Alphaeus,Matthew
Elders Meeting — Tarsus,2025-10-19 09:00:00,2025-10-19 11:00:00,Onesimus,Mary_Rome;Eutychus;Joseph_Barsabas;Damaris;Sosthenes;Tryphosa;Onesiphorus,Phoebe;Prochorus
Breaking of Bread — Samaria,2025-10-19 19:30:00,2025-10-19 20:30:00,Caius,Justus;Titus;Damaris;Cleopas;Lydia;Demas;Persis;Phoebe,Onesiphorus;Quartus;Epaphras
Teaching Schedule Review — Samaria,2025-10-20 09:20:00,2025-10-20 10:20:00,Nicanor,Hermas;Philemon;Mark;Andrew;James_Zebedee;Tryphosa,Eutychus;Gaius_Derbe;Tychicus;Hermes
Apostolic Letter Review — Perga,2025-10-20 16:00:00,2025-10-20 16:30:00,Sosthenes,Prochorus;Thomas;Archippus;Phoebe;Rufus;Fortunatus;Peter;Lydia;Hermas;Zenas,Nymphas;Philemon
Vision Interpretation Session — Colossae,2025-10-20 19:45:00,2025-10-20 20:45:00,Thaddaeus,Nicanor;James_Zebedee;Tabitha;Eutychus;Cephas_Disciple,
Vision Interpretation Session — Malta,2025-10-22 08:20:00,2025-10-22 09:05:00,Andrew,Secundus;Priscilla;Cephas_Disciple;Dionysius,Andronicus;Patrobas;Olympas;Demetrius
Scribal Workshop — Philippi,2025-10-22 09:00:00,2025-10-22 13:00:00,James_Alphaeus,Stephanas;Epaphras;Junia;Secundus,Apollos;Andrew
Lord's Supper Preparation — Derbe,2025-10-22 10:15:00,2025-10-22 11:45:00,James_Alphaeus,Secundus;Thomas;Simon_Zealot;Erastus;Linus;Phoebe;Lucius;Agabus;Andronicus;Nicanor,Persis;Dionysius;Hermes
Church Planting Review — Caesarea,2025-10-22 11:00:00,2025-10-22 11:45:00,James_Zebedee,Olympas;Justus;Demetrius;Crispus;Thomas,Peter;Tychicus;Junia
Council of Apostles — Caesarea,2025-10-22 14:45:00,2025-10-22 15:15:00,Caius,Apphia;Timon;Peter;Epaphroditus,Cephas_Disciple;Nymphas;Hermes
Gentile Mission Update — Samaria,2025-10-24 08:30:00,2025-10-24 10:00:00,Paul,Parmenas;Cornelius;Mary_Rome;Sosthenes;Lucius;Onesiphorus;Archippus;Fortunatus,Caius
Baptism Service Coordination — Rome,2025-10-26 08:45:00,2025-10-26 11:15:00,Epaphras,Agabus;Tychicus;Tryphosa;Hermas;Andrew;Philip;Priscilla;Prochorus;Onesimus,Demas;Olympas;Titus
Doctrinal Council — Thyatira,2025-10-26 09:30:00,2025-10-26 11:30:00,Thomas,Matthew;Tabitha;James_Zebedee;Matthias;Philemon,Manaen;Epaphroditus;Quartus;Titus
Synagogue Outreach Planning — Philippi,2025-10-26 10:00:00,2025-10-26 10:30:00,Paul,Barnabas;Carpus;Cephas_Disciple;Apphia;Philip;Zenas,Philemon
Widow's Care Logistics — Malta,2025-10-26 15:30:00,2025-10-26 18:00:00,Paul,Lydia;Philip_Deacon;Nicanor;Trophimus;Lucius;Manaen,Aristarchus
Discipleship Training — Corinth,2025-10-27 09:45:00,2025-10-27 13:45:00,Bartholomew,Phlegon;Simon_Zealot,Parmenas;James_Alphaeus;Lydia
Missionary Strategy Session — Puteoli,2025-10-27 15:00:00,2025-10-27 15:45:00,Epaphroditus,Linus;Erastus;Crispus;Carpus;Luke;John;Prochorus;Tabitha;Quartus,
Healing Ministry Debrief — Lystra,2025-10-28 07:00:00,2025-10-28 07:45:00,Paul,Bartholomew;Onesiphorus;Philip;Nymphas,Gaius_Macedonia;Luke;Crispus
Baptism Service Coordination — Lystra,2025-10-28 07:15:00,2025-10-28 09:45:00,Paul,Sopater;Erastus;Timothy;Quartus,
Council of Apostles — Crete,2025-10-28 08:30:00,2025-10-28 10:30:00,Caius,Epaphras;Crescens;Tychicus;Philip_Deacon;Jason;Thaddaeus;Hermas;Chloe;Joseph_Barsabas;Fortunatus,Priscilla;Parmenas;Carpus
Doctrinal Council — Thessalonica,2025-10-28 09:30:00,2025-10-28 13:30:00,Matthew,Timothy;Asyncritus;Phoebe;Gaius_Derbe,
Idol-Meat Controversy — Crete,2025-10-28 13:30:00,2025-10-28 15:00:00,James_Alphaeus,Simon_Zealot;Jason;Mary_Mark;Parmenas;Nicanor;Secundus;Patrobas;Andronicus,Lydia;Chloe;Epaphras;Gaius_Macedonia
Deacon Selection — Iconium,2025-10-30 09:30:00,2025-10-30 11:30:00,James_Zebedee,Chloe;Sosthenes;Lydia;Paul,Sopater;Hermas;Luke
Teaching Schedule Review — Thyatira,2025-10-31 08:15:00,2025-10-31 09:00:00,James_Zebedee,Barnabas;Apollos;Hermas;Cornelius;Andronicus;Asyncritus;Hermes;Nicolas;Stephen,Chloe;Parmenas;Zenas;Matthew
Lord's Supper Preparation — Miletus,2025-10-31 14:00:00,2025-10-31 17:00:00,Thomas,Demetrius;Philip_Deacon;Bartholomew;Aquila;Lydia;Prochorus;Dionysius;Mary_Rome;Matthew;Agabus,Parmenas;Sosthenes;Barnabas;Zenas
Elders Meeting — Joppa,2025-11-02 09:30:00,2025-11-02 12:00:00,Onesimus,Cornelius;Hermas;Rufus;Olympas,
New Convert Catechesis — Puteoli,2025-11-03 13:00:00,2025-11-03 14:30:00,John,Demas;Mary_Mark;Fortunatus;Patrobas;Timothy;Olympas;Jason;Luke;Matthew,Demetrius;Hermes;Philemon
Synagogue Outreach Planning — Lystra,2025-11-03 16:30:00,2025-11-03 17:00:00,Timon,Philemon;Sosthenes;Gaius_Derbe;Trophimus;James_Alphaeus,
Gentile Mission Update — Hierapolis,2025-11-05 14:45:00,2025-11-05 15:45:00,Asyncritus,Titus;Mary_Mark;Nymphas,Paul;Onesimus
Farewell Address — Crete,2025-11-06 10:30:00,2025-11-06 12:30:00,Bartholomew,Stephen;Peter;Lydia;Epaphroditus;Parmenas;James_Zebedee;Justus,Barnabas;Fortunatus
Widow's Care Logistics — Joppa,2025-11-06 11:00:00,2025-11-06 13:30:00,Paul,Apphia;Lucius;Philip_Deacon;Nicolas;Tryphosa;Priscilla;Caius;Dionysius,Prochorus
Shipwreck Recovery Briefing — Lystra,2025-11-06 16:30:00,2025-11-06 20:30:00,Tychicus,Nymphas;Demetrius;Simon_Zealot;Fortunatus;Lucius,Prochorus
Hospitality Network Coordination — Cyprus,2025-11-06 18:00:00,2025-11-06 20:30:00,Caius,Epaphras;Crescens;Parmenas;Dionysius;Tychicus;Quartus;Onesiphorus;Cleopas;Demetrius,Carpus;Erastus;Demas
Church Planting Review — Jerusalem,2025-11-06 18:20:00,2025-11-06 19:20:00,Paul,Trophimus;Carpus;Linus;Eutychus;Caius;Achaicus,Tryphosa;Rufus;Matthew;Mark
Doctrinal Council — Patmos,2025-11-07 07:15:00,2025-11-07 08:15:00,Hermes,Paul;Cephas_Disciple;Agabus;Mary_Mark;Quartus;Chloe;Cleopas;Aquila;Gaius_Macedonia;Stephen,
Persecution Response Briefing — Puteoli,2025-11-08 14:15:00,2025-11-08 18:15:00,Simon_Zealot,Quartus;Phoebe;Onesiphorus;Peter;Philip;Gaius_Derbe;Crispus;Andrew;Junia;Parmenas,Hermas;John
Prayer Vigil — Samaria,2025-11-08 14:20:00,2025-11-08 15:20:00,James_Alphaeus,Carpus;Fortunatus;Crescens;Andrew,James_Zebedee;Chloe;Gaius_Macedonia
Vision Interpretation Session — Thessalonica,2025-11-08 14:45:00,2025-11-08 15:30:00,Paul,Thaddaeus;Bartholomew;Titus;Timon;Mary_Mark;Caius;Phoebe;Simon_Zealot,
Elders Meeting — Pergamum,2025-11-09 08:00:00,2025-11-09 09:30:00,Apollos,Mary_Rome;Crescens;Lucius;Tychicus;Hermas,
New Convert Catechesis — Laodicea,2025-11-09 09:00:00,2025-11-09 10:00:00,Luke,Demas;Agabus;Onesimus;Philip_Deacon;Sopater,Bartholomew;Patrobas;Lucius
Letter Dictation — Lystra,2025-11-09 09:30:00,2025-11-09 10:15:00,Peter,Zenas;Erastus;Nymphas;Luke;Andronicus;Damaris,Lydia;Simon_Zealot;Nicanor
Prayer Vigil — Samaria,2025-11-09 10:15:00,2025-11-09 13:15:00,Jason,Mark;Apollos;Zenas;Titus;Luke;Justus;Rufus;Secundus;Fortunatus,Agabus;Caius
Farewell Address — Hierapolis,2025-11-10 08:00:00,2025-11-10 08:45:00,Erastus,Apollos;Titus;Patrobas;Gaius_Macedonia;Epaphroditus,
Elders Meeting — Rome,2025-11-10 09:00:00,2025-11-10 09:30:00,Paul,Philip;Fortunatus;Apphia;Onesimus;Nymphas,
Persecution Response Briefing — Samaria,2025-11-12 09:00:00,2025-11-12 10:30:00,Matthias,Demas;Sopater;Stephanas;Nymphas,Justus
Widow's Care Logistics — Crete,2025-11-12 19:30:00,2025-11-12 20:30:00,Paul,Apollos;Crescens;Philip;Silas,John
Deacon Selection — Philippi,2025-11-13 13:45:00,2025-11-13 14:45:00,Sopater,Parmenas;Sosthenes;Cephas_Disciple;Apollos;Archippus;John;Quartus;Fortunatus;Stephen,Mark;Priscilla
Missionary Strategy Session — Athens,2025-11-14 08:45:00,2025-11-14 10:15:00,Aristarchus,Onesiphorus;Aquila;Junia;Nymphas;Gaius_Macedonia;Matthias;Prochorus;Parmenas;Epaphroditus,
Widow's Care Logistics — Alexandria,2025-11-14 10:00:00,2025-11-14 12:00:00,John,Secundus;Andrew;Titus;Aristarchus;Hermes;Priscilla;Achaicus;Crescens;Chloe,Mark;Apphia;Peter
Apostolic Letter Review — Jerusalem,2025-11-14 10:30:00,2025-11-14 11:00:00,John,Demetrius;Tabitha;Lucius;Simon_Zealot,Paul;Fortunatus
Missionary Strategy Session — Perga,2025-11-16 15:20:00,2025-11-16 17:50:00,Andrew,Nicanor;Lucius;Apphia,
New Convert Catechesis — Malta,2025-11-16 18:15:00,2025-11-16 20:15:00,Matthew,Onesiphorus;Dionysius;Fortunatus;Crispus;Tryphena;Andronicus;Apphia;Philip,Persis;Prochorus
Baptism Service Coordination — Caesarea,2025-11-17 10:00:00,2025-11-17 12:00:00,Stephen,Tryphosa;Stephanas,Barnabas;Hermes
Prayer Vigil — Thessalonica,2025-11-17 10:30:00,2025-11-17 11:30:00,Peter,Tryphosa;Timon;Cephas_Disciple;Archippus;Parmenas;Achaicus;Sosthenes,Barnabas;Hermas;Stephanas
Famine Relief Coordination — Smyrna,2025-11-18 08:15:00,2025-11-18 10:45:00,Paul,Titus;Timothy;Parmenas;Chloe;Crispus;Thaddaeus,Mark
Hospitality Network Coordination — Smyrna,2025-11-18 10:00:00,2025-11-18 11:30:00,Prochorus,Linus;Timothy;Aquila;Apphia,Andrew;Jason;Apollos
Vision Interpretation Session — Iconium,2025-11-18 18:00:00,2025-11-18 18:45:00,Stephen,Tychicus;Prochorus;Phlegon;Matthew;Timon;Manaen;Secundus;Quartus,Lucius
Farewell Address — Malta,2025-11-19 18:30:00,2025-11-19 20:00:00,Onesiphorus,Zenas;Luke;Damaris;Priscilla,Cornelius;Epaphroditus;Joseph_Barsabas
Persecution Response Briefing — Berea,2025-11-20 08:00:00,2025-11-20 10:00:00,Patrobas,Linus;Demas;Lucius;Philemon;Erastus;Bartholomew;Archippus;Onesimus,Lydia;Aristarchus
Deacon Selection — Derbe,2025-11-20 19:00:00,2025-11-20 21:30:00,Sopater,Barnabas;Gaius_Derbe;Joseph_Barsabas;Mary_Mark;Linus;Aquila;Crescens;Agabus,
Church Planting Review — Hierapolis,2025-11-21 10:00:00,2025-11-21 12:30:00,Paul,Dionysius;Lydia;Cleopas;Onesimus,Carpus
New Convert Catechesis — Pergamum,2025-11-21 14:00:00,2025-11-21 15:30:00,James_Alphaeus,Cephas_Disciple;Thaddaeus;Damaris;Patrobas;Bartholomew;Demas;Gaius_Macedonia;Quartus;Thomas;Prochorus,Aquila;Timothy;Andronicus;Matthew
Missionary Strategy Session — Philippi,2025-11-21 14:45:00,2025-11-21 15:15:00,Paul,Onesimus;Thomas,
Prayer Vigil — Iconium,2025-11-22 10:45:00,2025-11-22 14:45:00,Paul,Prochorus;Hermes;Epaphras;Stephen;Zenas;Silas;Sosthenes,Priscilla
Healing Ministry Debrief — Berea,2025-11-24 09:30:00,2025-11-24 10:30:00,James_Alphaeus,Nicanor;Joseph_Barsabas;Phlegon;Nicolas;James_Zebedee;Silas;Rufus;Aquila;Philemon;Secundus,Cleopas;Crescens;Prochorus;Barnabas
New Convert Catechesis — Thyatira,2025-11-25 14:00:00,2025-11-25 15:30:00,Paul,Barnabas;Apphia;Quartus;Patrobas;Parmenas;Nicanor;Sosthenes;Aquila;Timothy,
Discipleship Training — Damascus,2025-11-25 18:20:00,2025-11-25 19:05:00,Simon_Zealot,Andrew;Manaen;Barnabas;Archippus;Philemon;Peter,Thomas;Silas;Jason
Farewell Address — Sardis,2025-11-26 07:15:00,2025-11-26 08:15:00,John,Patrobas;Carpus;Cephas_Disciple;Epaphroditus;Joseph_Barsabas,Peter;Onesiphorus;Andrew
Scribal Workshop — Tarsus,2025-11-26 10:00:00,2025-11-26 10:30:00,Jason,Epaphroditus;Timothy;Onesiphorus;Erastus;Onesimus;Lucius;Asyncritus,Apphia;Simon_Zealot;Lydia
Doctrinal Council — Smyrna,2025-11-27 08:00:00,2025-11-27 08:45:00,Bartholomew,Nymphas;Crispus;Fortunatus;Mary_Rome;Cleopas;Lydia,Damaris;Erastus;Philip;Paul
Idol-Meat Controversy — Athens,2025-11-27 09:20:00,2025-11-27 10:20:00,Secundus,Epaphras;Philip_Deacon;Matthew;Phlegon,Justus
Shipwreck Recovery Briefing — Perga,2025-11-28 08:45:00,2025-11-28 09:15:00,Phlegon,Bartholomew;Dionysius;Tychicus;Andronicus;Matthew;Simon_Zealot;Jason;Cephas_Disciple,Fortunatus;Prochorus
Discipleship Training — Rome,2025-11-28 10:30:00,2025-11-28 11:30:00,Andrew,John;Hermas;Apollos;Demetrius;Simon_Zealot;Crescens;Stephen;Luke,
New Convert Catechesis — Rome,2025-11-28 11:30:00,2025-11-28 12:30:00,Peter,Aquila;Dionysius;Lucius,Hermes
Scribal Workshop — Colossae,2025-11-28 14:30:00,2025-11-28 16:00:00,Thomas,Demetrius;Parmenas;Tryphena;Philemon;Lucius;Paul;Patrobas;Crescens;Fortunatus,
Hospitality Network Coordination — Alexandria,2025-11-28 18:30:00,2025-11-28 20:00:00,Matthew,Philemon;Olympas;Priscilla,Eutychus;Gaius_Macedonia;Sopater;Patrobas
Sabbath Teaching Plan — Samaria,2025-11-30 10:00:00,2025-11-30 10:45:00,Cleopas,Nymphas;Apphia;Stephanas;Joseph_Barsabas,Philip_Deacon;Apollos;Tychicus
Scribal Workshop — Colossae,2025-11-30 10:45:00,2025-11-30 11:15:00,Andrew,Apollos;Paul;Dionysius;Eutychus;Rufus;Crescens,Trophimus;Andronicus
